task,team_a,team_b,score
KIS Textual 6,siret V,siret VI,91
KIS Textual 6,siret V,siret VII,91
KIS Textual 6,siret V,vitrivr I,91
KIS Textual 6,siret V,vitrivr II,91
KIS Textual 6,siret V,vitrivr III,91
KIS Textual 6,siret V,vitrivr IV,91
KIS Textual 6,siret V,vitrivr V,91
KIS Textual 6,siret V,vitrivr VI,91
KIS Textual 6,siret V,vitrivr VII,91
KIS Textual 6,siret V,vitrivr VIII,91
KIS Textual 6,siret VI,siret VII,89
KIS Textual 6,siret VI,vitrivr I,89
KIS Textual 6,siret VI,vitrivr II,89
KIS Textual 6,siret VI,vitrivr III,89
KIS Textual 6,siret VI,vitrivr IV,89
KIS Textual 6,siret VI,vitrivr V,89
KIS Textual 6,siret VI,vitrivr VI,89
KIS Textual 6,siret VI,vitrivr VII,89
KIS Textual 6,siret VI,vitrivr VIII,89
KIS Textual 6,siret VII,vitrivr I,0
KIS Textual 6,siret VII,vitrivr II,72
KIS Textual 6,siret VII,vitrivr III,0
KIS Textual 6,siret VII,vitrivr IV,0
KIS Textual 6,siret VII,vitrivr V,0
KIS Textual 6,siret VII,vitrivr VI,0
KIS Textual 6,siret VII,vitrivr VII,0
KIS Textual 6,siret VII,vitrivr VIII,0
KIS Textual 6,vitrivr I,vitrivr II,72
KIS Textual 6,vitrivr I,vitrivr III,0
KIS Textual 6,vitrivr I,vitrivr IV,0
KIS Textual 6,vitrivr I,vitrivr V,0
KIS Textual 6,vitrivr I,vitrivr VI,0
KIS Textual 6,vitrivr I,vitrivr VII,0
KIS Textual 6,vitrivr I,vitrivr VIII,0
KIS Textual 6,vitrivr II,vitrivr III,72
KIS Textual 6,vitrivr II,vitrivr IV,72
KIS Textual 6,vitrivr II,vitrivr V,72
KIS Textual 6,vitrivr II,vitrivr VI,72
KIS Textual 6,vitrivr II,vitrivr VII,72
KIS Textual 6,vitrivr II,vitrivr VIII,72
KIS Textual 6,vitrivr III,vitrivr IV,0
KIS Textual 6,vitrivr III,vitrivr V,0
KIS Textual 6,vitrivr III,vitrivr VI,0
KIS Textual 6,vitrivr III,vitrivr VII,0
KIS Textual 6,vitrivr III,vitrivr VIII,0
KIS Textual 6,vitrivr IV,vitrivr V,0
KIS Textual 6,vitrivr IV,vitrivr VI,0
KIS Textual 6,vitrivr IV,vitrivr VII,0
KIS Textual 6,vitrivr IV,vitrivr VIII,0
KIS Textual 6,vitrivr V,vitrivr VI,0
KIS Textual 6,vitrivr V,vitrivr VII,0
KIS Textual 6,vitrivr V,vitrivr VIII,0
KIS Textual 6,vitrivr VI,vitrivr VII,0
KIS Textual 6,vitrivr VI,vitrivr VIII,0
KIS Textual 6,vitrivr VII,vitrivr VIII,0
KIS Visual 8,siret I,siret II,73
KIS Visual 8,siret I,siret III,78
KIS Visual 8,siret I,siret IV,96
KIS Visual 8,siret I,siret V,0
KIS Visual 8,siret I,siret VI,0
KIS Visual 8,siret I,siret VII,0
KIS Visual 8,siret I,vitrivr I,57
KIS Visual 8,siret I,vitrivr II,68
KIS Visual 8,siret I,vitrivr III,54
KIS Visual 8,siret I,vitrivr IV,0
KIS Visual 8,siret I,vitrivr V,0
KIS Visual 8,siret I,vitrivr VI,0
KIS Visual 8,siret I,vitrivr VII,0
KIS Visual 8,siret I,vitrivr VIII,0
KIS Visual 8,siret II,siret III,78
KIS Visual 8,siret II,siret IV,96
KIS Visual 8,siret II,siret V,73
KIS Visual 8,siret II,siret VI,73
KIS Visual 8,siret II,siret VII,73
KIS Visual 8,siret II,vitrivr I,73
KIS Visual 8,siret II,vitrivr II,73
KIS Visual 8,siret II,vitrivr III,73
KIS Visual 8,siret II,vitrivr IV,73
KIS Visual 8,siret II,vitrivr V,73
KIS Visual 8,siret II,vitrivr VI,73
KIS Visual 8,siret II,vitrivr VII,73
KIS Visual 8,siret II,vitrivr VIII,73
KIS Visual 8,siret III,siret IV,96
KIS Visual 8,siret III,siret V,78
KIS Visual 8,siret III,siret VI,78
KIS Visual 8,siret III,siret VII,78
KIS Visual 8,siret III,vitrivr I,78
KIS Visual 8,siret III,vitrivr II,78
KIS Visual 8,siret III,vitrivr III,78
KIS Visual 8,siret III,vitrivr IV,78
KIS Visual 8,siret III,vitrivr V,78
KIS Visual 8,siret III,vitrivr VI,78
KIS Visual 8,siret III,vitrivr VII,78
KIS Visual 8,siret III,vitrivr VIII,78
KIS Visual 8,siret IV,siret V,96
KIS Visual 8,siret IV,siret VI,96
KIS Visual 8,siret IV,siret VII,96
KIS Visual 8,siret IV,vitrivr I,96
KIS Visual 8,siret IV,vitrivr II,96
KIS Visual 8,siret IV,vitrivr III,96
KIS Visual 8,siret IV,vitrivr IV,96
KIS Visual 8,siret IV,vitrivr V,96
KIS Visual 8,siret IV,vitrivr VI,96
KIS Visual 8,siret IV,vitrivr VII,96
KIS Visual 8,siret IV,vitrivr VIII,96
KIS Visual 8,siret V,siret VI,0
KIS Visual 8,siret V,siret VII,0
KIS Visual 8,siret V,vitrivr I,57
KIS Visual 8,siret V,vitrivr II,68
KIS Visual 8,siret V,vitrivr III,54
KIS Visual 8,siret V,vitrivr IV,0
KIS Visual 8,siret V,vitrivr V,0
KIS Visual 8,siret V,vitrivr VI,0
KIS Visual 8,siret V,vitrivr VII,0
KIS Visual 8,siret V,vitrivr VIII,0
KIS Visual 8,siret VI,siret VII,0
KIS Visual 8,siret VI,vitrivr I,57
KIS Visual 8,siret VI,vitrivr II,68
KIS Visual 8,siret VI,vitrivr III,54
KIS Visual 8,siret VI,vitrivr IV,0
KIS Visual 8,siret VI,vitrivr V,0
KIS Visual 8,siret VI,vitrivr VI,0
KIS Visual 8,siret VI,vitrivr VII,0
KIS Visual 8,siret VI,vitrivr VIII,0
KIS Visual 8,siret VII,vitrivr I,57
KIS Visual 8,siret VII,vitrivr II,68
KIS Visual 8,siret VII,vitrivr III,54
KIS Visual 8,siret VII,vitrivr IV,0
KIS Visual 8,siret VII,vitrivr V,0
KIS Visual 8,siret VII,vitrivr VI,0
KIS Visual 8,siret VII,vitrivr VII,0
KIS Visual 8,siret VII,vitrivr VIII,0
KIS Visual 8,vitrivr I,vitrivr II,68
KIS Visual 8,vitrivr I,vitrivr III,57
KIS Visual 8,vitrivr I,vitrivr IV,57
KIS Visual 8,vitrivr I,vitrivr V,57
KIS Visual 8,vitrivr I,vitrivr VI,57
KIS Visual 8,vitrivr I,vitrivr VII,57
KIS Visual 8,vitrivr I,vitrivr VIII,57
KIS Visual 8,vitrivr II,vitrivr III,68
KIS Visual 8,vitrivr II,vitrivr IV,68
KIS Visual 8,vitrivr II,vitrivr V,68
KIS Visual 8,vitrivr II,vitrivr VI,68
KIS Visual 8,vitrivr II,vitrivr VII,68
KIS Visual 8,vitrivr II,vitrivr VIII,68
KIS Visual 8,vitrivr III,vitrivr IV,54
KIS Visual 8,vitrivr III,vitrivr V,54
KIS Visual 8,vitrivr III,vitrivr VI,54
KIS Visual 8,vitrivr III,vitrivr VII,54
KIS Visual 8,vitrivr III,vitrivr VIII,54
KIS Visual 8,vitrivr IV,vitrivr V,0
KIS Visual 8,vitrivr IV,vitrivr VI,0
KIS Visual 8,vitrivr IV,vitrivr VII,0
KIS Visual 8,vitrivr IV,vitrivr VIII,0
KIS Visual 8,vitrivr V,vitrivr VI,0
KIS Visual 8,vitrivr V,vitrivr VII,0
KIS Visual 8,vitrivr V,vitrivr VIII,0
KIS Visual 8,vitrivr VI,vitrivr VII,0
KIS Visual 8,vitrivr VI,vitrivr VIII,0
KIS Visual 8,vitrivr VII,vitrivr VIII,0
KIS Textual 8,siret I,siret II,83
KIS Textual 8,siret I,siret III,92
KIS Textual 8,siret I,siret IV,83
KIS Textual 8,siret I,siret V,88
KIS Textual 8,siret I,siret VI,83
KIS Textual 8,siret I,siret VII,83
KIS Textual 8,siret I,vitrivr I,96
KIS Textual 8,siret I,vitrivr II,96
KIS Textual 8,siret I,vitrivr III,93
KIS Textual 8,siret I,vitrivr IV,83
KIS Textual 8,siret I,vitrivr V,96
KIS Textual 8,siret I,vitrivr VI,88
KIS Textual 8,siret I,vitrivr VII,83
KIS Textual 8,siret I,vitrivr VIII,83
KIS Textual 8,siret II,siret III,92
KIS Textual 8,siret II,siret IV,69
KIS Textual 8,siret II,siret V,88
KIS Textual 8,siret II,siret VI,69
KIS Textual 8,siret II,siret VII,69
KIS Textual 8,siret II,vitrivr I,96
KIS Textual 8,siret II,vitrivr II,96
KIS Textual 8,siret II,vitrivr III,93
KIS Textual 8,siret II,vitrivr IV,70
KIS Textual 8,siret II,vitrivr V,96
KIS Textual 8,siret II,vitrivr VI,88
KIS Textual 8,siret II,vitrivr VII,75
KIS Textual 8,siret II,vitrivr VIII,70
KIS Textual 8,siret III,siret IV,92
KIS Textual 8,siret III,siret V,92
KIS Textual 8,siret III,siret VI,92
KIS Textual 8,siret III,siret VII,92
KIS Textual 8,siret III,vitrivr I,96
KIS Textual 8,siret III,vitrivr II,96
KIS Textual 8,siret III,vitrivr III,93
KIS Textual 8,siret III,vitrivr IV,92
KIS Textual 8,siret III,vitrivr V,96
KIS Textual 8,siret III,vitrivr VI,92
KIS Textual 8,siret III,vitrivr VII,92
KIS Textual 8,siret III,vitrivr VIII,92
KIS Textual 8,siret IV,siret V,88
KIS Textual 8,siret IV,siret VI,0
KIS Textual 8,siret IV,siret VII,0
KIS Textual 8,siret IV,vitrivr I,96
KIS Textual 8,siret IV,vitrivr II,96
KIS Textual 8,siret IV,vitrivr III,93
KIS Textual 8,siret IV,vitrivr IV,70
KIS Textual 8,siret IV,vitrivr V,96
KIS Textual 8,siret IV,vitrivr VI,88
KIS Textual 8,siret IV,vitrivr VII,75
KIS Textual 8,siret IV,vitrivr VIII,70
KIS Textual 8,siret V,siret VI,88
KIS Textual 8,siret V,siret VII,88
KIS Textual 8,siret V,vitrivr I,96
KIS Textual 8,siret V,vitrivr II,96
KIS Textual 8,siret V,vitrivr III,93
KIS Textual 8,siret V,vitrivr IV,88
KIS Textual 8,siret V,vitrivr V,96
KIS Textual 8,siret V,vitrivr VI,88
KIS Textual 8,siret V,vitrivr VII,88
KIS Textual 8,siret V,vitrivr VIII,88
KIS Textual 8,siret VI,siret VII,0
KIS Textual 8,siret VI,vitrivr I,96
KIS Textual 8,siret VI,vitrivr II,96
KIS Textual 8,siret VI,vitrivr III,93
KIS Textual 8,siret VI,vitrivr IV,70
KIS Textual 8,siret VI,vitrivr V,96
KIS Textual 8,siret VI,vitrivr VI,88
KIS Textual 8,siret VI,vitrivr VII,75
KIS Textual 8,siret VI,vitrivr VIII,70
KIS Textual 8,siret VII,vitrivr I,96
KIS Textual 8,siret VII,vitrivr II,96
KIS Textual 8,siret VII,vitrivr III,93
KIS Textual 8,siret VII,vitrivr IV,70
KIS Textual 8,siret VII,vitrivr V,96
KIS Textual 8,siret VII,vitrivr VI,88
KIS Textual 8,siret VII,vitrivr VII,75
KIS Textual 8,siret VII,vitrivr VIII,70
KIS Textual 8,vitrivr I,vitrivr II,96
KIS Textual 8,vitrivr I,vitrivr III,96
KIS Textual 8,vitrivr I,vitrivr IV,96
KIS Textual 8,vitrivr I,vitrivr V,96
KIS Textual 8,vitrivr I,vitrivr VI,96
KIS Textual 8,vitrivr I,vitrivr VII,96
KIS Textual 8,vitrivr I,vitrivr VIII,96
KIS Textual 8,vitrivr II,vitrivr III,96
KIS Textual 8,vitrivr II,vitrivr IV,96
KIS Textual 8,vitrivr II,vitrivr V,96
KIS Textual 8,vitrivr II,vitrivr VI,96
KIS Textual 8,vitrivr II,vitrivr VII,96
KIS Textual 8,vitrivr II,vitrivr VIII,96
KIS Textual 8,vitrivr III,vitrivr IV,93
KIS Textual 8,vitrivr III,vitrivr V,96
KIS Textual 8,vitrivr III,vitrivr VI,93
KIS Textual 8,vitrivr III,vitrivr VII,93
KIS Textual 8,vitrivr III,vitrivr VIII,93
KIS Textual 8,vitrivr IV,vitrivr V,96
KIS Textual 8,vitrivr IV,vitrivr VI,88
KIS Textual 8,vitrivr IV,vitrivr VII,75
KIS Textual 8,vitrivr IV,vitrivr VIII,70
KIS Textual 8,vitrivr V,vitrivr VI,96
KIS Textual 8,vitrivr V,vitrivr VII,96
KIS Textual 8,vitrivr V,vitrivr VIII,96
KIS Textual 8,vitrivr VI,vitrivr VII,88
KIS Textual 8,vitrivr VI,vitrivr VIII,88
KIS Textual 8,vitrivr VII,vitrivr VIII,70
KIS Visual 9,siret I,siret II,81
KIS Visual 9,siret I,siret III,81
KIS Visual 9,siret I,siret IV,81
KIS Visual 9,siret I,siret V,81
KIS Visual 9,siret I,siret VI,81
KIS Visual 9,siret I,siret VII,81
KIS Visual 9,siret I,vitrivr I,81
KIS Visual 9,siret I,vitrivr II,81
KIS Visual 9,siret I,vitrivr III,81
KIS Visual 9,siret I,vitrivr IV,81
KIS Visual 9,siret I,vitrivr V,81
KIS Visual 9,siret I,vitrivr VI,81
KIS Visual 9,siret I,vitrivr VII,81
KIS Visual 9,siret I,vitrivr VIII,81
KIS Visual 9,siret II,siret III,55
KIS Visual 9,siret II,siret IV,72
KIS Visual 9,siret II,siret V,0
KIS Visual 9,siret II,siret VI,0
KIS Visual 9,siret II,siret VII,0
KIS Visual 9,siret II,vitrivr I,0
KIS Visual 9,siret II,vitrivr II,0
KIS Visual 9,siret II,vitrivr III,0
KIS Visual 9,siret II,vitrivr IV,0
KIS Visual 9,siret II,vitrivr V,0
KIS Visual 9,siret II,vitrivr VI,0
KIS Visual 9,siret II,vitrivr VII,0
KIS Visual 9,siret II,vitrivr VIII,0
KIS Visual 9,siret III,siret IV,72
KIS Visual 9,siret III,siret V,55
KIS Visual 9,siret III,siret VI,55
KIS Visual 9,siret III,siret VII,55
KIS Visual 9,siret III,vitrivr I,55
KIS Visual 9,siret III,vitrivr II,55
KIS Visual 9,siret III,vitrivr III,55
KIS Visual 9,siret III,vitrivr IV,55
KIS Visual 9,siret III,vitrivr V,55
KIS Visual 9,siret III,vitrivr VI,55
KIS Visual 9,siret III,vitrivr VII,55
KIS Visual 9,siret III,vitrivr VIII,55
KIS Visual 9,siret IV,siret V,72
KIS Visual 9,siret IV,siret VI,72
KIS Visual 9,siret IV,siret VII,72
KIS Visual 9,siret IV,vitrivr I,72
KIS Visual 9,siret IV,vitrivr II,72
KIS Visual 9,siret IV,vitrivr III,72
KIS Visual 9,siret IV,vitrivr IV,72
KIS Visual 9,siret IV,vitrivr V,72
KIS Visual 9,siret IV,vitrivr VI,72
KIS Visual 9,siret IV,vitrivr VII,72
KIS Visual 9,siret IV,vitrivr VIII,72
KIS Visual 9,siret V,siret VI,0
KIS Visual 9,siret V,siret VII,0
KIS Visual 9,siret V,vitrivr I,0
KIS Visual 9,siret V,vitrivr II,0
KIS Visual 9,siret V,vitrivr III,0
KIS Visual 9,siret V,vitrivr IV,0
KIS Visual 9,siret V,vitrivr V,0
KIS Visual 9,siret V,vitrivr VI,0
KIS Visual 9,siret V,vitrivr VII,0
KIS Visual 9,siret V,vitrivr VIII,0
KIS Visual 9,siret VI,siret VII,0
KIS Visual 9,siret VI,vitrivr I,0
KIS Visual 9,siret VI,vitrivr II,0
KIS Visual 9,siret VI,vitrivr III,0
KIS Visual 9,siret VI,vitrivr IV,0
KIS Visual 9,siret VI,vitrivr V,0
KIS Visual 9,siret VI,vitrivr VI,0
KIS Visual 9,siret VI,vitrivr VII,0
KIS Visual 9,siret VI,vitrivr VIII,0
KIS Visual 9,siret VII,vitrivr I,0
KIS Visual 9,siret VII,vitrivr II,0
KIS Visual 9,siret VII,vitrivr III,0
KIS Visual 9,siret VII,vitrivr IV,0
KIS Visual 9,siret VII,vitrivr V,0
KIS Visual 9,siret VII,vitrivr VI,0
KIS Visual 9,siret VII,vitrivr VII,0
KIS Visual 9,siret VII,vitrivr VIII,0
KIS Visual 9,vitrivr I,vitrivr II,0
KIS Visual 9,vitrivr I,vitrivr III,0
KIS Visual 9,vitrivr I,vitrivr IV,0
KIS Visual 9,vitrivr I,vitrivr V,0
KIS Visual 9,vitrivr I,vitrivr VI,0
KIS Visual 9,vitrivr I,vitrivr VII,0
KIS Visual 9,vitrivr I,vitrivr VIII,0
KIS Visual 9,vitrivr II,vitrivr III,0
KIS Visual 9,vitrivr II,vitrivr IV,0
KIS Visual 9,vitrivr II,vitrivr V,0
KIS Visual 9,vitrivr II,vitrivr VI,0
KIS Visual 9,vitrivr II,vitrivr VII,0
KIS Visual 9,vitrivr II,vitrivr VIII,0
KIS Visual 9,vitrivr III,vitrivr IV,0
KIS Visual 9,vitrivr III,vitrivr V,0
KIS Visual 9,vitrivr III,vitrivr VI,0
KIS Visual 9,vitrivr III,vitrivr VII,0
KIS Visual 9,vitrivr III,vitrivr VIII,0
KIS Visual 9,vitrivr IV,vitrivr V,0
KIS Visual 9,vitrivr IV,vitrivr VI,0
KIS Visual 9,vitrivr IV,vitrivr VII,0
KIS Visual 9,vitrivr IV,vitrivr VIII,0
KIS Visual 9,vitrivr V,vitrivr VI,0
KIS Visual 9,vitrivr V,vitrivr VII,0
KIS Visual 9,vitrivr V,vitrivr VIII,0
KIS Visual 9,vitrivr VI,vitrivr VII,0
KIS Visual 9,vitrivr VI,vitrivr VIII,0
KIS Visual 9,vitrivr VII,vitrivr VIII,0
KIS Textual 9,siret I,siret II,0
KIS Textual 9,siret I,siret III,0
KIS Textual 9,siret I,siret IV,0
KIS Textual 9,siret I,siret V,0
KIS Textual 9,siret I,siret VI,56
KIS Textual 9,siret I,siret VII,0
KIS Textual 9,siret I,vitrivr I,0
KIS Textual 9,siret I,vitrivr II,0
KIS Textual 9,siret I,vitrivr III,0
KIS Textual 9,siret I,vitrivr IV,0
KIS Textual 9,siret I,vitrivr V,0
KIS Textual 9,siret I,vitrivr VI,0
KIS Textual 9,siret I,vitrivr VII,0
KIS Textual 9,siret I,vitrivr VIII,0
KIS Textual 9,siret II,siret III,0
KIS Textual 9,siret II,siret IV,0
KIS Textual 9,siret II,siret V,0
KIS Textual 9,siret II,siret VI,56
KIS Textual 9,siret II,siret VII,0
KIS Textual 9,siret II,vitrivr I,0
KIS Textual 9,siret II,vitrivr II,0
KIS Textual 9,siret II,vitrivr III,0
KIS Textual 9,siret II,vitrivr IV,0
KIS Textual 9,siret II,vitrivr V,0
KIS Textual 9,siret II,vitrivr VI,0
KIS Textual 9,siret II,vitrivr VII,0
KIS Textual 9,siret II,vitrivr VIII,0
KIS Textual 9,siret III,siret IV,0
KIS Textual 9,siret III,siret V,0
KIS Textual 9,siret III,siret VI,56
KIS Textual 9,siret III,siret VII,0
KIS Textual 9,siret III,vitrivr I,0
KIS Textual 9,siret III,vitrivr II,0
KIS Textual 9,siret III,vitrivr III,0
KIS Textual 9,siret III,vitrivr IV,0
KIS Textual 9,siret III,vitrivr V,0
KIS Textual 9,siret III,vitrivr VI,0
KIS Textual 9,siret III,vitrivr VII,0
KIS Textual 9,siret III,vitrivr VIII,0
KIS Textual 9,siret IV,siret V,0
KIS Textual 9,siret IV,siret VI,56
KIS Textual 9,siret IV,siret VII,0
KIS Textual 9,siret IV,vitrivr I,0
KIS Textual 9,siret IV,vitrivr II,0
KIS Textual 9,siret IV,vitrivr III,0
KIS Textual 9,siret IV,vitrivr IV,0
KIS Textual 9,siret IV,vitrivr V,0
KIS Textual 9,siret IV,vitrivr VI,0
KIS Textual 9,siret IV,vitrivr VII,0
KIS Textual 9,siret IV,vitrivr VIII,0
KIS Textual 9,siret V,siret VI,56
KIS Textual 9,siret V,siret VII,0
KIS Textual 9,siret V,vitrivr I,0
KIS Textual 9,siret V,vitrivr II,0
KIS Textual 9,siret V,vitrivr III,0
KIS Textual 9,siret V,vitrivr IV,0
KIS Textual 9,siret V,vitrivr V,0
KIS Textual 9,siret V,vitrivr VI,0
KIS Textual 9,siret V,vitrivr VII,0
KIS Textual 9,siret V,vitrivr VIII,0
KIS Textual 9,siret VI,siret VII,56
KIS Textual 9,siret VI,vitrivr I,56
KIS Textual 9,siret VI,vitrivr II,56
KIS Textual 9,siret VI,vitrivr III,56
KIS Textual 9,siret VI,vitrivr IV,56
KIS Textual 9,siret VI,vitrivr V,56
KIS Textual 9,siret VI,vitrivr VI,56
KIS Textual 9,siret VI,vitrivr VII,56
KIS Textual 9,siret VI,vitrivr VIII,56
KIS Textual 9,siret VII,vitrivr I,0
KIS Textual 9,siret VII,vitrivr II,0
KIS Textual 9,siret VII,vitrivr III,0
KIS Textual 9,siret VII,vitrivr IV,0
KIS Textual 9,siret VII,vitrivr V,0
KIS Textual 9,siret VII,vitrivr VI,0
KIS Textual 9,siret VII,vitrivr VII,0
KIS Textual 9,siret VII,vitrivr VIII,0
KIS Textual 9,vitrivr I,vitrivr II,0
KIS Textual 9,vitrivr I,vitrivr III,0
KIS Textual 9,vitrivr I,vitrivr IV,0
KIS Textual 9,vitrivr I,vitrivr V,0
KIS Textual 9,vitrivr I,vitrivr VI,0
KIS Textual 9,vitrivr I,vitrivr VII,0
KIS Textual 9,vitrivr I,vitrivr VIII,0
KIS Textual 9,vitrivr II,vitrivr III,0
KIS Textual 9,vitrivr II,vitrivr IV,0
KIS Textual 9,vitrivr II,vitrivr V,0
KIS Textual 9,vitrivr II,vitrivr VI,0
KIS Textual 9,vitrivr II,vitrivr VII,0
KIS Textual 9,vitrivr II,vitrivr VIII,0
KIS Textual 9,vitrivr III,vitrivr IV,0
KIS Textual 9,vitrivr III,vitrivr V,0
KIS Textual 9,vitrivr III,vitrivr VI,0
KIS Textual 9,vitrivr III,vitrivr VII,0
KIS Textual 9,vitrivr III,vitrivr VIII,0
KIS Textual 9,vitrivr IV,vitrivr V,0
KIS Textual 9,vitrivr IV,vitrivr VI,0
KIS Textual 9,vitrivr IV,vitrivr VII,0
KIS Textual 9,vitrivr IV,vitrivr VIII,0
KIS Textual 9,vitrivr V,vitrivr VI,0
KIS Textual 9,vitrivr V,vitrivr VII,0
KIS Textual 9,vitrivr V,vitrivr VIII,0
KIS Textual 9,vitrivr VI,vitrivr VII,0
KIS Textual 9,vitrivr VI,vitrivr VIII,0
KIS Textual 9,vitrivr VII,vitrivr VIII,0
KIS Visual 11,siret I,siret II,92
KIS Visual 11,siret I,siret III,92
KIS Visual 11,siret I,siret IV,76
KIS Visual 11,siret I,siret V,85
KIS Visual 11,siret I,siret VI,79
KIS Visual 11,siret I,siret VII,95
KIS Visual 11,siret I,vitrivr I,69
KIS Visual 11,siret I,vitrivr II,69
KIS Visual 11,siret I,vitrivr III,69
KIS Visual 11,siret I,vitrivr IV,87
KIS Visual 11,siret I,vitrivr V,69
KIS Visual 11,siret I,vitrivr VI,88
KIS Visual 11,siret I,vitrivr VII,69
KIS Visual 11,siret I,vitrivr VIII,69
KIS Visual 11,siret II,siret III,92
KIS Visual 11,siret II,siret IV,92
KIS Visual 11,siret II,siret V,92
KIS Visual 11,siret II,siret VI,92
KIS Visual 11,siret II,siret VII,95
KIS Visual 11,siret II,vitrivr I,92
KIS Visual 11,siret II,vitrivr II,92
KIS Visual 11,siret II,vitrivr III,92
KIS Visual 11,siret II,vitrivr IV,92
KIS Visual 11,siret II,vitrivr V,92
KIS Visual 11,siret II,vitrivr VI,92
KIS Visual 11,siret II,vitrivr VII,92
KIS Visual 11,siret II,vitrivr VIII,92
KIS Visual 11,siret III,siret IV,92
KIS Visual 11,siret III,siret V,92
KIS Visual 11,siret III,siret VI,92
KIS Visual 11,siret III,siret VII,95
KIS Visual 11,siret III,vitrivr I,92
KIS Visual 11,siret III,vitrivr II,92
KIS Visual 11,siret III,vitrivr III,92
KIS Visual 11,siret III,vitrivr IV,92
KIS Visual 11,siret III,vitrivr V,92
KIS Visual 11,siret III,vitrivr VI,92
KIS Visual 11,siret III,vitrivr VII,92
KIS Visual 11,siret III,vitrivr VIII,92
KIS Visual 11,siret IV,siret V,76
KIS Visual 11,siret IV,siret VI,79
KIS Visual 11,siret IV,siret VII,95
KIS Visual 11,siret IV,vitrivr I,76
KIS Visual 11,siret IV,vitrivr II,76
KIS Visual 11,siret IV,vitrivr III,76
KIS Visual 11,siret IV,vitrivr IV,77
KIS Visual 11,siret IV,vitrivr V,76
KIS Visual 11,siret IV,vitrivr VI,78
KIS Visual 11,siret IV,vitrivr VII,76
KIS Visual 11,siret IV,vitrivr VIII,76
KIS Visual 11,siret V,siret VI,79
KIS Visual 11,siret V,siret VII,95
KIS Visual 11,siret V,vitrivr I,85
KIS Visual 11,siret V,vitrivr II,85
KIS Visual 11,siret V,vitrivr III,85
KIS Visual 11,siret V,vitrivr IV,87
KIS Visual 11,siret V,vitrivr V,85
KIS Visual 11,siret V,vitrivr VI,88
KIS Visual 11,siret V,vitrivr VII,85
KIS Visual 11,siret V,vitrivr VIII,85
KIS Visual 11,siret VI,siret VII,95
KIS Visual 11,siret VI,vitrivr I,79
KIS Visual 11,siret VI,vitrivr II,79
KIS Visual 11,siret VI,vitrivr III,79
KIS Visual 11,siret VI,vitrivr IV,79
KIS Visual 11,siret VI,vitrivr V,79
KIS Visual 11,siret VI,vitrivr VI,79
KIS Visual 11,siret VI,vitrivr VII,79
KIS Visual 11,siret VI,vitrivr VIII,79
KIS Visual 11,siret VII,vitrivr I,95
KIS Visual 11,siret VII,vitrivr II,95
KIS Visual 11,siret VII,vitrivr III,95
KIS Visual 11,siret VII,vitrivr IV,95
KIS Visual 11,siret VII,vitrivr V,95
KIS Visual 11,siret VII,vitrivr VI,95
KIS Visual 11,siret VII,vitrivr VII,95
KIS Visual 11,siret VII,vitrivr VIII,95
KIS Visual 11,vitrivr I,vitrivr II,68
KIS Visual 11,vitrivr I,vitrivr III,0
KIS Visual 11,vitrivr I,vitrivr IV,87
KIS Visual 11,vitrivr I,vitrivr V,0
KIS Visual 11,vitrivr I,vitrivr VI,88
KIS Visual 11,vitrivr I,vitrivr VII,50
KIS Visual 11,vitrivr I,vitrivr VIII,57
KIS Visual 11,vitrivr II,vitrivr III,68
KIS Visual 11,vitrivr II,vitrivr IV,87
KIS Visual 11,vitrivr II,vitrivr V,68
KIS Visual 11,vitrivr II,vitrivr VI,88
KIS Visual 11,vitrivr II,vitrivr VII,68
KIS Visual 11,vitrivr II,vitrivr VIII,68
KIS Visual 11,vitrivr III,vitrivr IV,87
KIS Visual 11,vitrivr III,vitrivr V,0
KIS Visual 11,vitrivr III,vitrivr VI,88
KIS Visual 11,vitrivr III,vitrivr VII,50
KIS Visual 11,vitrivr III,vitrivr VIII,57
KIS Visual 11,vitrivr IV,vitrivr V,87
KIS Visual 11,vitrivr IV,vitrivr VI,88
KIS Visual 11,vitrivr IV,vitrivr VII,87
KIS Visual 11,vitrivr IV,vitrivr VIII,87
KIS Visual 11,vitrivr V,vitrivr VI,88
KIS Visual 11,vitrivr V,vitrivr VII,50
KIS Visual 11,vitrivr V,vitrivr VIII,57
KIS Visual 11,vitrivr VI,vitrivr VII,88
KIS Visual 11,vitrivr VI,vitrivr VIII,88
KIS Visual 11,vitrivr VII,vitrivr VIII,57
KIS Textual 11,siret I,siret II,97
KIS Textual 11,siret I,siret III,97
KIS Textual 11,siret I,siret IV,97
KIS Textual 11,siret I,siret V,97
KIS Textual 11,siret I,siret VI,97
KIS Textual 11,siret I,siret VII,97
KIS Textual 11,siret I,vitrivr I,97
KIS Textual 11,siret I,vitrivr II,97
KIS Textual 11,siret I,vitrivr III,97
KIS Textual 11,siret I,vitrivr IV,97
KIS Textual 11,siret I,vitrivr V,97
KIS Textual 11,siret I,vitrivr VI,97
KIS Textual 11,siret I,vitrivr VII,97
KIS Textual 11,siret I,vitrivr VIII,97
KIS Textual 11,siret II,siret III,97
KIS Textual 11,siret II,siret IV,97
KIS Textual 11,siret II,siret V,97
KIS Textual 11,siret II,siret VI,87
KIS Textual 11,siret II,siret VII,97
KIS Textual 11,siret II,vitrivr I,97
